tier,category,name,organization,role,region,contact,website,what_they_know,what_to_ask,status,notes,email_subject,email_draft
5,Agency — VSR accountability,,Webb City Police Dept,Municipal police,Jasper County,,,81 → 233 Hispanic stops (+188%),Same,,,Request for comment: Webb City Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Webb City Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Webb City Police Department data, Hispanic traffic stops rose from 81 in 2020 to 233 in 2024 — a 188% increase. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Branson Police Dept,Municipal police,Taney County,,,+188% Hispanic stops; signed 287(g) Feb 2026; Chief Eric Schmitt,287(g) implementation; response to business community concerns,,,Request for comment: Branson Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Branson Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Branson Police Department data, Hispanic traffic stops rose 188% between 2020 and 2024. In February 2026, the Board of Aldermen approved a 287(g) Task Force Model agreement with ICE. Chief Eric Schmitt has publicly defended the agreement by referencing gang activity the department could not substantiate. I'd like to give the department a chance to respond to the broader traffic stop patterns and to discuss the implementation of the new 287(g) agreement, particularly in light of Branson's tourism economy and its reliance on Hispanic workers.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Washington County Sheriff,County sheriff,Washington County,,,Sheriff Scott Reed signed 287(g) Jan 2026; on record with First Alert 4,Already has public quotes — follow up on implementation,,,Request for comment: Washington County Sheriff traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Washington County Sheriff's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

I'm reporting on Missouri agencies that have signed 287(g) agreements. Sheriff Scott Reed has been on the record with First Alert 4 about the department's agreement. I'd like to follow up on the implementation so far, what the sheriff is seeing since the agreement took effect, and how the financial incentives described in that reporting are being handled.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
6,Government/policy,,Missouri Attorney General's office,State government,Statewide,,https://ago.mo.gov/,Publishes VSR; removed disparity index in 2023; settled NAACP lawsuit Dec 2025; Andrew Bailey,Why did agency comments drop from 500+ to 18?,,,Missouri traffic stops story — request for interview,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

My analysis of the Vehicle Stops Report shows two things I'd like to ask about. First, a sharp increase in Hispanic traffic stops between 2020 and 2024, concentrated in specific agencies. Second, a dramatic drop in agency comment responses — from roughly 500 in 2023 to just 18 in 2024. I'd like to talk about what the office understands about both of these patterns, the enforcement mechanism for agencies that don't submit comments, and what changed in 2024 that would explain the collapse in responses.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
6,Government/policy,,Governor Mike Kehoe's office,State government,Statewide,,https://governor.mo.gov/,Signed Safer Missouri Initiative executive orders Jan 2025; activated National Guard for ICE support Sept 2025,Executive order rationale; National Guard deployment details,,,Missouri traffic stops story — request for interview,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting on traffic stop patterns in Missouri and their connection to the Safer Missouri Initiative executive orders the governor signed in January 2025. I'd like to talk about the rationale for the 287(g) designation (EO 25-04), the immigration status tracking requirement (EO 25-05), the September 2025 National Guard deployment to ICE operations, and the governor's view of how these policies interact with existing traffic enforcement patterns in the state.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
6,Government/policy,Shamed Dogan,Former state representative (Ballwin),Legislator,St. Louis area,,,Sponsored Fourth Amendment Affirmation Act,Legislative history; why the bill didn't pass,,,Missouri traffic stops story — request for interview,"Hi Shamed,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — particularly a sharp increase in Hispanic stops between 2020 and 2024, concentrated in discretionary stop categories. You sponsored the Fourth Amendment Affirmation Act in 2020, which would have created consequences for agencies with discriminatory stop patterns. I'd love to talk about the bill's history, why it didn't pass, and your view of the current state of VSR enforcement.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
6,Government/policy,,Missouri Sheriffs' Association,Law enforcement association,Statewide,,https://mosheriffs.com/,Association position on 287(g) expansion,Official stance; what sheriffs have told the association,,,Missouri traffic stops story — request for interview,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting on Missouri agencies that have signed 287(g) agreements — now more than 60 statewide. I'd like to talk with the Association about its official position on the 287(g) expansion, what sheriffs have been telling the Association about implementation, and the broader context of rural sheriffs' offices entering immigration enforcement agreements.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
7,Academic,Michael Stout PhD,Oklahoma State University (formerly Missouri State University),Researcher,SW Missouri/OK,,,Did the Springfield PD racial profiling analysis; knows the Springfield data well,What he found on Hispanic drivers specifically,,,Missouri Vehicle Stops Report — interview request,"Hi Michael,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

You did the Springfield Police Department's racial profiling analyses through Missouri State University, and I've been reading that work in depth. I noticed that those reports flagged something that has been mostly missed in the broader VSR coverage: Hispanic drivers in Springfield were searched at rates above the city average, arrested at higher rates, and investigative stops of Hispanic drivers were nearly double the city average. I'd love to talk about what you found, your methodology, and what Springfield PD did with the findings.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
7,Academic,,Cambio Center / University of Missouri,Research center,Columbia,,https://cambio.missouri.edu/,Runs Cambio de Colores conference — 22 years of Missouri Latino integration research,Long-view demographic context; academic contacts,,,Missouri Vehicle Stops Report — interview request,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their impact on Latino communities in the state. I'd love to talk with researchers at the Cambio Center about the long-view demographic context, how the Latino workforce has shifted in Missouri over the past two decades, and whether any Cambio-affiliated researchers have looked at the intersection of immigration enforcement and traffic stop data.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
7,Academic,Roger Goldman,St. Louis University law professor,Law professor,St. Louis,,,Decades-long campaign against 'wandering cops' / muni-shuffle,How the muni-shuffle enables problematic enforcement,,,Missouri Vehicle Stops Report — interview request,"Hi Roger,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I've read your work on ""wandering officers"" and the muni-shuffle in Missouri. I'm reporting a story on traffic stop patterns in Missouri, and one of the agencies that stands out in the data — St. Ann — is specifically mentioned in reporting on the muni-shuffle as a destination for officers who have been pushed out of larger departments. I'd love to talk about how the decertification system is working, how the muni-shuffle enables problematic enforcement at small departments, and your view of the current state of police accountability in Missouri.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
7,Academic,,Washington University School of Law,Law school,St. Louis,,,Authors of 'The Case Against Race Profiling in Immigration Enforcement',Legal scholarship on racial profiling in immigration enforcement,,,Missouri Vehicle Stops Report — interview request,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns and their connection to immigration enforcement. I read ""The Case Against Race Profiling in Immigration Enforcement"" in the Washington University Law Review and would love to talk with any of the authors or other WashU faculty who work on this topic about the legal framework and scholarship on racial profiling in immigration enforcement.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
7,Academic,,MOST Policy Initiative,Nonpartisan policy research,Missouri,,https://mostpolicyinitiative.org/,Published 2021 'Time of Day and Vehicle Stops' policy brief,Methodology; view of VSR data quality,,,Missouri Vehicle Stops Report — interview request,"Hello,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of five years of Missouri traffic stop data — part of a public database we recently launched.

I read your 2021 ""Time of Day and Vehicle Stops"" policy brief on the Missouri VSR data. I'm reporting a story based on an analysis of the same dataset, and I'd love to talk with someone at MOST about your methodology, your view of the data quality and analytical limitations of the VSR, and what MOST has learned from working with Missouri legislators on this issue.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Milan,Axel Fuentes,Rural Community Workers Alliance,Executive Director,Milan (Sullivan Co),axelrcwa@gmail.com / (316) 390-5438,https://www.ruralcommunityworkersalliance.org/,"Present during Feb 24 2026 ICE operation in Milan; leads on-the-ground worker advocacy in meatpacking belt; quoted in KCUR, Investigate Midwest",Traffic stop → ICE pipeline in Sullivan County; chilling effect on Milan workforce; how Feb raid changed behavior,,,Missouri traffic stops story — would love to talk,"Hi Axel,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Present during Feb 24 2026 ICE operation in Milan; leads on-the-ground worker advocacy in meatpacking belt; quoted in KCUR, Investigate Midwest. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Milan,Eliseo Affholter,Kraft Heinz Kirksville (worker),"Worker, US citizen",Milan / Kirksville,Reach via RCWA or Mónica Cordero (mcordero@investigatemidwest.org),,US citizen of Maya descent; stopped and questioned by ICE Feb 24 in Milan; ICE agent broke his phone camera during the stop,Direct personal account of being stopped on the street and treated as a suspect; perfect for the traffic-stop-like encounter angle,,,Missouri traffic stops story — would love to talk,"Hi Eliseo,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. US citizen of Maya descent; stopped and questioned by ICE Feb 24 in Milan; ICE agent broke his phone camera during the stop. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Carthage,Francisco Bonilla,Casa de Sanidad / Iglesia Cristiana Hispanoamericana,Pastor,Carthage (Jasper Co),Facebook @casadesanidadd; church at Second and Grant Streets,,"Central Hispanic church leader in Carthage; runs Radio La Esperanza (Spanish radio); congregation drawn from Butterball workers; featured in KFF Health News, Joplin Globe, KBIA",Butterball workforce stories; changes in attendance or member behavior; whether members are avoiding driving,,,Missouri traffic stops story — would love to talk,"Hi Francisco,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Central Hispanic church leader in Carthage; runs Radio La Esperanza (Spanish radio); congregation drawn from Butterball workers; featured in KFF Health News, Joplin Globe, KBIA. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Carthage,Juan Topete,Carthage City Council,Councilman (first Latino elected),Carthage (Jasper Co),via carthagemo.gov/page/mayor-city-council,,Parents worked at Butterball; still lives in Carthage; community bridge between Latino residents and city government; quoted in KFF Health News / NPR 2020,Whether local police traffic enforcement has changed since 287(g) spread; elected perspective on community fear,,,Missouri traffic stops story — would love to talk,"Hi Juan,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Parents worked at Butterball; still lives in Carthage; community bridge between Latino residents and city government; quoted in KFF Health News / NPR 2020. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Carthage,Luke Boyer,Carthage R-9 School District,Superintendent,Carthage (Jasper Co),Carthage R-9 district office (417) 359-7000,https://carthagetigers.org,District is ~33% Hispanic/Latino; bilingual school calendar; student population tied to Butterball workforce,Attendance or enrollment trends among Hispanic students; whether families have left Carthage recently,,,Missouri traffic stops story — would love to talk,"Hi Luke,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. District is ~33% Hispanic/Latino; bilingual school calendar; student population tied to Butterball workforce. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Noel,"Charles ""Chaz"" Dunn",Nativity of Our Lord Catholic Church,Pastor,Noel (McDonald Co),(417) 475-3144 / parishoffice@nool.us,,Primary Catholic church in Noel with Spanish Sunday mass; serves ~40% Hispanic community; Tyson plant closed 2023,Mass attendance changes; whether parishioners discuss traffic stops; what happened after Tyson closure,,,Missouri traffic stops story — would love to talk,"Hi Charles,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Primary Catholic church in Noel with Spanish Sunday mass; serves ~40% Hispanic community; Tyson plant closed 2023. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Noel,Eric Findley,McDonald County R-1 School District,Superintendent,Noel (McDonald Co),"McDonald County R-1 district office, Anderson MO",https://mcdonaldr1.net,Includes Noel Elementary; district covers children of former/current meatpacking workers,Student attendance changes; school response to ICE activity; post-Tyson community impact,,,Missouri traffic stops story — would love to talk,"Hi Eric,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Includes Noel Elementary; district covers children of former/current meatpacking workers. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Branson,Jorge Valencia,(Individual),"Branson-area resident, tourism worker (US citizen)",Branson (Taney Co),Reach via Branson Tri-Lakes News or SMIA,,"Photographed protesting Feb 2026 Branson ICE vote at City Hall; quoted: ""I am a US citizen, and I feel like coming to work, I might get arrested""",Direct fear angle — a US citizen feeling targeted by the new 287(g) agreement in his hometown,,,Missouri traffic stops story — would love to talk,"Hi Jorge,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Photographed protesting Feb 2026 Branson ICE vote at City Hall; quoted: ""I am a US citizen, and I feel like coming to work, I might get arrested"". I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — Branson,Mary Daboin,(Individual),Branson-area resident,Branson (Taney Co),Reach via Branson Tri-Lakes News or SMIA,,Photographed at Feb 2026 ICE protest at Branson City Hall alongside Jorge Valencia,Community reaction to 287(g) in a tourism-dependent town,,,Missouri traffic stops story — would love to talk,"Hi Mary,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Photographed at Feb 2026 ICE protest at Branson City Hall alongside Jorge Valencia. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — St. Charles County,Gabriela Ramírez-Arellano,STLJuntos / Cortex Innovation Community,Co-founder STLJuntos; VP of Entrepreneurship Cortex,St. Charles County,via https://stljuntos.org,,St. Charles County resident (39 years); testified against the county ICE partnership at March 2026 council meeting; cited research on business decline in 287(g) counties; regularly quoted in STL media,Connecting 287(g) to economic chilling effect; what the county Hispanic business community is seeing,,,Missouri traffic stops story — would love to talk,"Hi Gabriela,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. St. Charles County resident (39 years); testified against the county ICE partnership at March 2026 council meeting; cited research on business decline in 287(g) counties; regularly quoted in STL media. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — St. Louis / Statewide,Ben Molina,Hispanic Leaders Group of Greater St. Louis / Cortex,Chair HLG; Entrepreneurship Program Manager,St. Louis region,contact@stlhlg.org,https://www.stlhlg.org,Testified against St. Charles County ICE partnership citing constitutional 287(g) concerns; organized 2026 Hispanic Capitol Day (200+ attendees),Statewide Hispanic advocacy perspective; constitutional framing of the enforcement question,,,Missouri traffic stops story — would love to talk,"Hi Ben,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Testified against St. Charles County ICE partnership citing constitutional 287(g) concerns; organized 2026 Hispanic Capitol Day (200+ attendees). I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
4,Community — St. Charles County,Angelica Mitchell,(Educator),Educator; daughter of immigrants,St. Charles County,Reach via STLPR reporter who covered Mar 2026 council meeting,,"Testified at St. Charles County council meeting against ICE partnership; noted documented increases in student fear, anxiety, attendance drops",Local educator perspective on what students are experiencing,,,Missouri traffic stops story — would love to talk,"Hi Angelica,

My name is Tory, and I'm one of the founders of Recovered Factory. I'm reaching out because I'm reporting a story based on an analysis of eleven years of Missouri traffic stop data — part of a public database we recently launched.

I'm reporting a story about Missouri traffic stop patterns — stops of Hispanic drivers rose 52% over the past decade while stops of white drivers fell 25%. Testified at St. Charles County council meeting against ICE partnership; noted documented increases in student fear, anxiety, attendance drops. I'd love to talk with you about what you're seeing, and I'd be grateful for even a short conversation.

We recently launched a public database of Missouri's Vehicle Stops Report — you can see the announcement, the live site, and our homepage here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
